"region","order_date","net_revenue","orders_cnt","avg_check"
"Europe","2022-10-28","682.78","2","341.39"
"Europe","2022-11-01","1563.37","4","390.84"
"Europe","2022-11-02","576.97","1","576.97"
"Europe","2022-11-03","926.05","2","463.02"
"Europe","2022-11-05","238.41","3","79.47"
"Europe","2022-11-06","789.56","2","394.78"
"Europe","2022-11-07","317.86","2","158.93"
"Europe","2022-11-08","45.5","1","45.5"
"Europe","2022-11-09","476.61","1","476.61"
"Europe","2022-11-10","441.86","3","147.29"
"Europe","2022-11-11","1065.52","4","266.38"
"Europe","2022-11-12","341.75","2","170.88"
"Europe","2022-11-13","92.51","2","46.25"
"Europe","2022-11-14","690.49","2","345.25"
"Europe","2022-11-15","430","4","107.5"
"Europe","2022-11-16","787.95","3","262.65"
"Europe","2022-11-17","829.09","4","207.27"
"Europe","2022-11-18","293.03","4","73.26"
"Europe","2022-11-19","338.92","3","112.97"
"Europe","2022-11-20","205.32","2","102.66"
"Europe","2022-11-21","805.22","3","268.41"
"Europe","2022-11-22","272.5","2","136.25"
"Europe","2022-11-23","65.13","1","65.13"
"Europe","2022-11-24","342.01","3","114"
"Europe","2022-11-26","472.45","4","118.11"
"Europe","2022-11-29","17.45","1","17.45"
"Europe","2022-11-30","57.72","2","28.86"
"Europe","2022-12-01","735.61","4","183.9"
"Europe","2022-12-02","331.44","4","82.86"
"Europe","2022-12-03","1071.71","4","267.93"
"Europe","2022-12-04","862.69","7","123.24"
"Europe","2022-12-05","2801.19","4","700.3"
"Europe","2022-12-06","910.19","4","227.55"
"Europe","2022-12-07","1776.59","5","355.32"
"Europe","2022-12-08","2722.4","5","544.48"
"Europe","2022-12-09","1877.15","6","312.86"
"Europe","2022-12-10","150.14","1","150.14"
"Europe","2022-12-11","334.64","3","111.55"
"Europe","2022-12-12","1762.65","4","440.66"
"Europe","2022-12-13","1312.08","6","218.68"
"Europe","2022-12-14","17.29","1","17.29"
"Europe","2022-12-15","1098.18","8","137.27"
"Europe","2022-12-16","214.26","2","107.13"
"Europe","2022-12-17","629.71","3","209.9"
"Europe","2022-12-18","1654.71","10","165.47"
"Europe","2022-12-19","1609.65","4","402.41"
"Europe","2022-12-20","2816.51","3","938.84"
"Europe","2022-12-21","2319.92","6","386.65"
"Europe","2022-12-22","1390.15","4","347.54"
"Europe","2022-12-23","1341.36","4","335.34"
"Europe","2022-12-24","1127.09","5","225.42"
"Europe","2022-12-25","1997.12","4","499.28"
"Europe","2022-12-26","284.21","2","142.11"
"Europe","2022-12-27","262.67","3","87.56"
"Europe","2022-12-28","1880.2","3","626.73"
"Europe","2022-12-29","479.55","2","239.78"
"Europe","2022-12-31","541.1","1","541.1"
"Europe","2023-01-01","17.57","1","17.57"
"Europe","2023-01-02","461.25","1","461.25"
"Europe","2023-01-04","722.01","2","361"
"Europe","2023-01-07","704.35","1","704.35"
"Europe","2023-01-09","92.38","1","92.38"
"Europe","2023-01-10","1429.32","2","714.66"
"Europe","2023-01-11","242","1","242"
"Europe","2023-01-12","488.95","2","244.47"
"Europe","2023-01-16","1220.58","1","1220.58"
"Europe","2023-01-19","321.19","2","160.59"
"Europe","2023-01-21","310.11","1","310.11"
"Europe","2023-01-23","27.95","1","27.95"
"Europe","2023-01-26","209.83","1","209.83"
"Europe","2023-02-01","65.65","1","65.65"
"Europe","2023-02-02","781.83","1","781.83"
"Europe","2023-02-04","21.01","1","21.01"
"Europe","2023-02-06","107.81","1","107.81"
"Europe","2023-02-07","581.14","2","290.57"
"Europe","2023-02-08","148.88","1","148.88"
"Europe","2023-02-09","407.56","1","407.56"
"Europe","2023-02-10","69.6","1","69.6"
"Europe","2023-02-11","784.94","4","196.24"
"Europe","2023-02-13","42.78","1","42.78"
"Europe","2023-02-18","505.24","1","505.24"
"Europe","2023-02-19","59.4","1","59.4"
"Europe","2023-02-21","17.26","1","17.26"
"Europe","2023-02-23","654.92","1","654.92"
"Europe","2023-02-24","1471.41","4","367.85"
"Europe","2023-02-25","58.78","1","58.78"
"Europe","2023-02-26","1110.65","2","555.33"
"Europe","2023-02-28","1147.11","3","382.37"
"Europe","2023-03-06","13.34","1","13.34"
"Europe","2023-03-08","963.6","3","321.2"
"Europe","2023-03-10","1852.86","2","926.43"
"Europe","2023-03-12","624.32","2","312.16"
"Europe","2023-03-14","307.16","1","307.16"
"Europe","2023-03-19","700.95","1","700.95"
"Europe","2023-03-20","1095.28","1","1095.28"
"Europe","2023-03-21","247.89","3","82.63"
"Europe","2023-03-22","836.47","3","278.82"
"Europe","2023-03-23","58.44","1","58.44"
"Europe","2023-03-24","924.03","1","924.03"
"Europe","2023-03-25","185.33","3","61.78"
"Europe","2023-03-26","366.92","1","366.92"
"Europe","2023-03-27","2309.46","4","577.37"
"Europe","2023-03-28","118.83","1","118.83"
"Europe","2023-04-01","212.52","1","212.52"
"Europe","2023-04-03","106.63","1","106.63"
"Europe","2023-04-04","162.09","2","81.04"
"Europe","2023-04-05","120.15","1","120.15"
"Europe","2023-04-06","225.35","1","225.35"
"Europe","2023-04-07","288.78","3","96.26"
"Europe","2023-04-08","83.86","1","83.86"
"Europe","2023-04-12","588.17","1","588.17"
"Europe","2023-04-14","52.63","1","52.63"
"Europe","2023-04-16","272.47","1","272.47"
"Europe","2023-04-17","1208.11","4","302.03"
"Europe","2023-04-18","7.41","1","7.41"
"Europe","2023-04-20","20.44","1","20.44"
"Europe","2023-04-22","630.24","3","210.08"
"Europe","2023-04-24","196.19","2","98.09"
"Europe","2023-04-25","229.16","1","229.16"
"Europe","2023-04-26","1749.86","3","583.29"
"Europe","2023-04-27","53.48","1","53.48"
"Europe","2023-04-28","2798.3","3","932.77"
"Europe","2023-05-01","260.11","1","260.11"
"Europe","2023-05-02","797.2","4","199.3"
"Europe","2023-05-03","92.41","1","92.41"
"Europe","2023-05-04","241.16","3","80.39"
"Europe","2023-05-05","185.61","2","92.8"
"Europe","2023-05-08","968.77","3","322.92"
"Europe","2023-05-10","367.88","1","367.88"
"Europe","2023-05-12","26.01","1","26.01"
"Europe","2023-05-13","1583","6","263.83"
"Europe","2023-05-15","1059.32","3","353.11"
"Europe","2023-05-16","1566.82","3","522.27"
"Europe","2023-05-17","33.04","1","33.04"
"Europe","2023-05-18","598.45","1","598.45"
"Europe","2023-05-19","350.76","1","350.76"
"Europe","2023-05-20","1764.88","7","252.13"
"Europe","2023-05-21","751.77","3","250.59"
"Europe","2023-05-22","202.39","2","101.19"
"Europe","2023-05-23","206.41","1","206.41"
"Europe","2023-05-24","71.43","1","71.43"
"Europe","2023-05-25","1993.51","3","664.5"
"Europe","2023-05-26","149.96","3","49.99"
"Europe","2023-05-27","44.62","1","44.62"
"Europe","2023-05-28","1021.27","2","510.63"
"Europe","2023-05-30","582.24","1","582.24"
"Europe","2023-06-01","260.3","3","86.77"
"Europe","2023-06-02","1058.75","3","352.92"
"Europe","2023-06-03","44.3","1","44.3"
"Europe","2023-06-04","467.5","2","233.75"
"Europe","2023-06-05","267.78","2","133.89"
"Europe","2023-06-06","821.88","4","205.47"
"Europe","2023-06-07","55.64","1","55.64"
"Europe","2023-06-08","66.44","2","33.22"
"Europe","2023-06-09","340.82","5","68.16"
"Europe","2023-06-10","196.67","3","65.56"
"Europe","2023-06-11","2308.25","3","769.42"
"Europe","2023-06-12","435.64","3","145.21"
"Europe","2023-06-13","32.66","1","32.66"
"Europe","2023-06-14","131.01","1","131.01"
"Europe","2023-06-15","26.29","1","26.29"
"Europe","2023-06-16","907.06","4","226.76"
"Europe","2023-06-17","16.24","1","16.24"
"Europe","2023-06-18","314.94","2","157.47"
"Europe","2023-06-19","665.69","3","221.9"
"Europe","2023-06-20","75.16","1","75.16"
"Europe","2023-06-21","1359.3","2","679.65"
"Europe","2023-06-22","257.78","2","128.89"
"Europe","2023-06-23","371.19","2","185.59"
"Europe","2023-06-24","532.91","3","177.64"
"Europe","2023-06-25","928.62","4","232.16"
"Europe","2023-06-26","2389.87","7","341.41"
"Europe","2023-06-27","2272.82","2","1136.41"
"Europe","2023-06-28","560.3","3","186.77"
"Europe","2023-07-01","837.37","3","279.12"
"Europe","2023-07-02","877.3","5","175.46"
"Europe","2023-07-03","1860.89","1","1860.89"
"Europe","2023-07-04","241.75","3","80.58"
"Europe","2023-07-05","1310.69","2","655.35"
"Europe","2023-07-07","1602.51","3","534.17"
"Europe","2023-07-08","152.84","2","76.42"
"Europe","2023-07-09","1465.04","8","183.13"
"Europe","2023-07-10","610.85","2","305.43"
"Europe","2023-07-11","508.18","3","169.39"
"Europe","2023-07-12","436.62","2","218.31"
"Europe","2023-07-13","532.99","3","177.66"
"Europe","2023-07-14","500.69","1","500.69"
"Europe","2023-07-15","656.4","5","131.28"
"Europe","2023-07-16","219.99","1","219.99"
"Europe","2023-07-17","161.58","3","53.86"
"Europe","2023-07-18","536.12","2","268.06"
"Europe","2023-07-19","460.95","1","460.95"
"Europe","2023-07-20","631.14","1","631.14"
"Europe","2023-07-21","159.04","3","53.01"
"Europe","2023-07-22","746.27","5","149.25"
"Europe","2023-07-23","1019.54","4","254.88"
"Europe","2023-07-24","133.06","2","66.53"
"Europe","2023-07-25","579.77","3","193.26"
"Europe","2023-07-26","1005.59","3","335.2"
"Europe","2023-07-27","1714.7","4","428.68"
"Europe","2023-07-28","868.11","5","173.62"
"Europe","2023-07-31","184.81","1","184.81"
"Europe","2023-08-01","49.95","1","49.95"
"Europe","2023-08-02","467.59","4","116.9"
"Europe","2023-08-03","508.53","4","127.13"
"Europe","2023-08-04","2181.11","4","545.28"
"Europe","2023-08-05","604.03","4","151.01"
"Europe","2023-08-06","199.11","2","99.56"
"Europe","2023-08-07","1046.95","3","348.98"
"Europe","2023-08-08","4545.84","5","909.17"
"Europe","2023-08-09","396.86","3","132.29"
"Europe","2023-08-10","2226.88","4","556.72"
"Europe","2023-08-11","169.74","1","169.74"
"Europe","2023-08-12","1132.27","2","566.13"
"Europe","2023-08-13","616.22","3","205.41"
"Europe","2023-08-14","260.57","2","130.28"
"Europe","2023-08-15","846.82","5","169.36"
"Europe","2023-08-16","1008.88","1","1008.88"
"Europe","2023-08-17","74.16","3","24.72"
"Europe","2023-08-18","278.85","1","278.85"
"Europe","2023-08-19","262.64","3","87.55"
"Europe","2023-08-21","243.29","1","243.29"
"Europe","2023-08-22","369.06","3","123.02"
"Europe","2023-08-23","141.65","2","70.83"
"Europe","2023-08-24","1202.02","1","1202.02"
"Europe","2023-08-25","599.5","2","299.75"
"Europe","2023-08-26","1910.96","5","382.19"
"Europe","2023-08-27","732.47","4","183.12"
"Europe","2023-08-28","1964.39","5","392.88"
"Europe","2023-08-30","137.9","1","137.9"
"Europe","2023-09-01","1548.3","3","516.1"
"Europe","2023-09-02","1468.23","2","734.12"
"Europe","2023-09-03","131.27","4","32.82"
"Europe","2023-09-04","662.96","6","110.49"
"Europe","2023-09-05","454.77","2","227.38"
"Europe","2023-09-06","324.19","3","108.06"
"Europe","2023-09-07","602.65","3","200.88"
"Europe","2023-09-09","39.95","1","39.95"
"Europe","2023-09-10","212.41","2","106.2"
"Europe","2023-09-11","1009.61","3","336.54"
"Europe","2023-09-13","1266.96","3","422.32"
"Europe","2023-09-14","1634.6","2","817.3"
"Europe","2023-09-15","118.98","2","59.49"
"Europe","2023-09-16","971.64","2","485.82"
"Europe","2023-09-17","52.08","2","26.04"
"Europe","2023-09-18","183.74","1","183.74"
"Europe","2023-09-19","2233.63","6","372.27"
"Europe","2023-09-20","1460.24","2","730.12"
"Europe","2023-09-21","1861.3","7","265.9"
"Europe","2023-09-22","150.96","1","150.96"
"Europe","2023-09-23","1671.19","5","334.24"
"Europe","2023-09-25","3258.34","7","465.48"
"Europe","2023-09-26","2217.59","6","369.6"
"Europe","2023-09-27","763.4","2","381.7"
"Europe","2023-09-28","293.13","3","97.71"
"Europe","2023-09-30","149.81","1","149.81"
"Europe","2023-10-01","815.15","3","271.72"
"Europe","2023-10-02","491.38","4","122.84"
"Europe","2023-10-03","54.9","1","54.9"
"Europe","2023-10-04","1122.36","4","280.59"
"Europe","2023-10-05","665.46","5","133.09"
"Europe","2023-10-06","280.72","4","70.18"
"Europe","2023-10-07","406.74","1","406.74"
"Europe","2023-10-08","3837.93","6","639.65"
"Europe","2023-10-09","621.02","4","155.25"
"Europe","2023-10-10","151.66","1","151.66"
"Europe","2023-10-11","1018.76","4","254.69"
"Europe","2023-10-12","355.31","3","118.44"
"Europe","2023-10-13","464.6","2","232.3"
"Europe","2023-10-14","164.39","2","82.2"
"Europe","2023-10-15","662.33","4","165.58"
"Europe","2023-10-16","1021.07","4","255.27"
"Europe","2023-10-18","683.09","3","227.7"
"Europe","2023-10-19","1387.9","2","693.95"
"Europe","2023-10-20","1350.08","4","337.52"
"Europe","2023-10-21","131.68","1","131.68"
"Europe","2023-10-22","2038.6","4","509.65"
"Europe","2023-10-23","335.76","2","167.88"
"Europe","2023-10-24","2206.79","5","441.36"
"Europe","2023-10-26","309.8","1","309.8"
"Europe","2023-10-27","662.08","4","165.52"
"Europe","2023-10-28","81.55","2","40.77"
"Europe","2023-10-30","27.89","1","27.89"
"Europe","2023-11-01","2491.7","10","249.17"
"Europe","2023-11-02","1252.77","5","250.55"
"Europe","2023-11-03","862.44","9","95.83"
"Europe","2023-11-04","1294.34","4","323.58"
"Europe","2023-11-05","2552.13","7","364.59"
"Europe","2023-11-06","3991.91","12","332.66"
"Europe","2023-11-07","650.45","6","108.41"
"Europe","2023-11-08","4530.61","9","503.4"
"Europe","2023-11-09","261.89","2","130.94"
"Europe","2023-11-10","223.94","2","111.97"
"Europe","2023-11-11","1346.16","5","269.23"
"Europe","2023-11-12","140.84","2","70.42"
"Europe","2023-11-13","805.21","3","268.4"
"Europe","2023-11-14","2820.53","8","352.57"
"Europe","2023-11-15","4041.3","8","505.16"
"Europe","2023-11-16","2486.78","7","355.25"
"Europe","2023-11-17","1109.88","5","221.98"
"Europe","2023-11-18","2018.52","6","336.42"
"Europe","2023-11-20","934.87","6","155.81"
"Europe","2023-11-21","768.42","6","128.07"
"Europe","2023-11-22","2803.23","5","560.65"
"Europe","2023-11-23","691.43","7","98.78"
"Europe","2023-11-24","3822.32","12","318.53"
"Europe","2023-11-25","3124.58","12","260.38"
"Europe","2023-11-26","1434.28","8","179.28"
"Europe","2023-11-27","717.64","4","179.41"
"Europe","2023-11-28","1620.53","6","270.09"
"Europe","2023-12-01","3844.48","7","549.21"
"Europe","2023-12-02","2632.95","11","239.36"
"Europe","2023-12-03","362.88","6","60.48"
"Europe","2023-12-04","3677.4","12","306.45"
"Europe","2023-12-05","1669.69","11","151.79"
"Europe","2023-12-06","445.96","7","63.71"
"Europe","2023-12-07","3088.74","11","280.79"
"Europe","2023-12-08","3327.16","9","369.68"
"Europe","2023-12-09","2609.57","5","521.91"
"Europe","2023-12-10","3373.17","11","306.65"
"Europe","2023-12-11","5011.72","12","417.64"
"Europe","2023-12-12","1193.69","7","170.53"
"Europe","2023-12-13","1175.48","5","235.1"
"Europe","2023-12-14","2802.32","11","254.76"
"Europe","2023-12-15","3425","10","342.5"
"Europe","2023-12-16","3785.5","10","378.55"
"Europe","2023-12-17","2236.09","11","203.28"
"Europe","2023-12-18","2403.08","8","300.38"
"Europe","2023-12-19","3991.34","13","307.03"
"Europe","2023-12-20","3073.08","12","256.09"
"Europe","2023-12-21","2888.64","11","262.6"
"Europe","2023-12-22","2158.97","10","215.9"
"Europe","2023-12-23","1941.68","6","323.61"
"Europe","2023-12-24","553.52","9","61.5"
"Europe","2023-12-25","3739.57","15","249.3"
"Europe","2023-12-26","3229.09","10","322.91"
"Europe","2023-12-27","708.15","12","59.01"
"Europe","2023-12-28","1719.04","10","171.9"
"Europe","2023-12-31","24.14","1","24.14"
"Europe","2024-01-01","1339.06","2","669.53"
"Europe","2024-01-02","96.53","1","96.53"
"Europe","2024-01-04","1888.75","4","472.19"
"Europe","2024-01-06","927.42","1","927.42"
"Europe","2024-01-07","1010.91","3","336.97"
"Europe","2024-01-08","263.73","4","65.93"
"Europe","2024-01-09","1022.33","4","255.58"
"Europe","2024-01-10","2839.98","3","946.66"
"Europe","2024-01-11","104.52","1","104.52"
"Europe","2024-01-12","122.66","1","122.66"
"Europe","2024-01-13","70.54","1","70.54"
"Europe","2024-01-15","319.59","4","79.9"
"Europe","2024-01-16","40.16","1","40.16"
"Europe","2024-01-17","219.48","2","109.74"
"Europe","2024-01-19","1287.18","5","257.44"
"Europe","2024-01-20","439.59","3","146.53"
"Europe","2024-01-21","3114.09","3","1038.03"
"Europe","2024-01-22","910.18","4","227.55"
"Europe","2024-01-25","188.35","3","62.78"
"Europe","2024-01-26","253.94","2","126.97"
"Europe","2024-01-27","863.53","3","287.84"
"Europe","2024-01-31","591.38","3","197.13"
"Europe","2024-02-01","656.98","2","328.49"
"Europe","2024-02-02","44.32","1","44.32"
"Europe","2024-02-03","64.34","2","32.17"
"Europe","2024-02-04","171.01","1","171.01"
"Europe","2024-02-05","52.54","1","52.54"
"Europe","2024-02-06","148.19","1","148.19"
"Europe","2024-02-07","185.05","2","92.53"
"Europe","2024-02-09","32.42","1","32.42"
"Europe","2024-02-10","529.67","2","264.84"
"Europe","2024-02-11","127.33","1","127.33"
"Europe","2024-02-12","30.67","1","30.67"
"Europe","2024-02-14","327.25","3","109.08"
"Europe","2024-02-15","923.19","1","923.19"
"Europe","2024-02-16","82.5","1","82.5"
"Europe","2024-02-17","547.37","1","547.37"
"Europe","2024-02-18","769.81","3","256.6"
"Europe","2024-02-19","309.8","2","154.9"
"Europe","2024-02-20","64.03","1","64.03"
"Europe","2024-02-21","311.7","2","155.85"
"Europe","2024-02-22","208.36","2","104.18"
"Europe","2024-02-23","69.36","2","34.68"
"Europe","2024-02-24","108.91","1","108.91"
"Europe","2024-02-26","626.96","2","313.48"
"Europe","2024-02-27","139.53","3","46.51"
"Europe","2024-02-28","363.81","2","181.91"
"Europe","2024-03-01","194.85","1","194.85"
"Europe","2024-03-02","1228.28","4","307.07"
"Europe","2024-03-03","1226.03","3","408.68"
"Europe","2024-03-04","403.25","3","134.42"
"Europe","2024-03-05","55.68","2","27.84"
"Europe","2024-03-06","1508.94","3","502.98"
"Europe","2024-03-07","2352.81","4","588.2"
"Europe","2024-03-08","187.77","1","187.77"
"Europe","2024-03-09","1295.71","2","647.86"
"Europe","2024-03-10","1040.78","4","260.19"
"Europe","2024-03-11","693.41","2","346.7"
"Europe","2024-03-12","1379.88","4","344.97"
"Europe","2024-03-13","73.84","1","73.84"
"Europe","2024-03-15","728.13","4","182.03"
"Europe","2024-03-16","133.02","3","44.34"
"Europe","2024-03-17","87.89","1","87.89"
"Europe","2024-03-18","2699.58","3","899.86"
"Europe","2024-03-19","2261.48","3","753.83"
"Europe","2024-03-20","499.16","1","499.16"
"Europe","2024-03-21","291.11","1","291.11"
"Europe","2024-03-22","414.04","1","414.04"
"Europe","2024-03-23","205.77","3","68.59"
"Europe","2024-03-24","762.39","4","190.6"
"Europe","2024-03-25","313.42","3","104.47"
"Europe","2024-03-26","410.94","3","136.98"
"Europe","2024-03-27","698.65","3","232.88"
"Europe","2024-03-29","473.85","2","236.93"
"Europe","2024-04-01","207.25","2","103.63"
"Europe","2024-04-02","1854.3","5","370.86"
"Europe","2024-04-03","238.63","3","79.54"
"Europe","2024-04-06","503.91","2","251.96"
"Europe","2024-04-07","701.42","2","350.71"
"Europe","2024-04-08","1943.3","3","647.77"
"Europe","2024-04-10","4","1","4"
"Europe","2024-04-11","829.25","1","829.25"
"Europe","2024-04-12","151.97","2","75.98"
"Europe","2024-04-13","422.83","2","211.41"
"Europe","2024-04-14","284.38","3","94.79"
"Europe","2024-04-15","1776.7","2","888.35"
"Europe","2024-04-16","512.01","2","256"
"Europe","2024-04-17","309.92","4","77.48"
"Europe","2024-04-18","2279.63","5","455.93"
"Europe","2024-04-19","1553.89","2","776.94"
"Europe","2024-04-20","166.19","2","83.09"
"Europe","2024-04-21","729.44","2","364.72"
"Europe","2024-04-22","1969.62","4","492.41"
"Europe","2024-04-24","382.05","2","191.02"
"Europe","2024-04-25","79.05","3","26.35"
"Europe","2024-04-26","680.82","4","170.21"
"Europe","2024-04-27","142.32","2","71.16"
"Europe","2024-04-28","737.75","2","368.88"
"Europe","2024-04-30","231.72","2","115.86"
"Europe","2024-05-01","243.27","3","81.09"
"Europe","2024-05-02","2314.22","6","385.7"
"Europe","2024-05-03","2111.72","3","703.91"
"Europe","2024-05-04","517.96","1","517.96"
"Europe","2024-05-05","1048.2","2","524.1"
"Europe","2024-05-06","1182.83","4","295.71"
"Europe","2024-05-07","565.86","1","565.86"
"Europe","2024-05-08","53.71","1","53.71"
"Europe","2024-05-10","1899.4","2","949.7"
"Europe","2024-05-12","1496.74","4","374.19"
"Europe","2024-05-13","3384.49","7","483.5"
"Europe","2024-05-14","106.07","1","106.07"
"Europe","2024-05-15","516.58","4","129.15"
"Europe","2024-05-16","202.73","2","101.36"
"Europe","2024-05-17","1348.06","3","449.35"
"Europe","2024-05-18","1112.55","4","278.14"
"Europe","2024-05-19","256.66","1","256.66"
"Europe","2024-05-20","375.64","3","125.21"
"Europe","2024-05-21","697.7","2","348.85"
"Europe","2024-05-22","1908.3","5","381.66"
"Europe","2024-05-23","160.65","3","53.55"
"Europe","2024-05-24","2562.15","3","854.05"
"Europe","2024-05-25","975","5","195"
"Europe","2024-05-26","57.53","2","28.77"
"Europe","2024-05-27","452.38","5","90.48"
"Europe","2024-05-28","66.42","2","33.21"
"Europe","2024-05-30","209.6","2","104.8"
"Europe","2024-05-31","216.07","1","216.07"
"Europe","2024-06-01","1403.84","5","280.77"
"Europe","2024-06-02","630.61","3","210.2"
"Europe","2024-06-03","1181.39","4","295.35"
"Europe","2024-06-04","727.2","4","181.8"
"Europe","2024-06-05","1388.75","6","231.46"
"Europe","2024-06-06","2132.72","3","710.91"
"Europe","2024-06-07","826.12","2","413.06"
"Europe","2024-06-08","139.11","2","69.56"
"Europe","2024-06-09","5","1","5"
"Europe","2024-06-10","247.78","4","61.95"
"Europe","2024-06-11","182.52","3","60.84"
"Europe","2024-06-12","1165.11","3","388.37"
"Europe","2024-06-13","379.58","5","75.92"
"Europe","2024-06-14","937.05","4","234.26"
"Europe","2024-06-15","195.91","3","65.3"
"Europe","2024-06-16","28.55","1","28.55"
"Europe","2024-06-18","1621.65","7","231.66"
"Europe","2024-06-20","64.16","1","64.16"
"Europe","2024-06-22","523.88","2","261.94"
"Europe","2024-06-23","1142.17","3","380.72"
"Europe","2024-06-24","1951.3","4","487.82"
"Europe","2024-06-25","347.3","3","115.77"
"Europe","2024-06-26","521.58","4","130.39"
