"customer_id","region","acq_channel","customer_revenue","orders_cnt"
"11087","Latin America","Email","5213.27","9"
"10324","Latin America","Organic","5203.87","11"
"11219","North America","Email","5106.29","9"
"10601","North America","Organic","5093.9","11"
"12916","North America","Paid Search","5058.22","7"
"11412","North America","Email","4989.94","8"
"10509","Latin America","Social Ads","4981","8"
"11024","Middle East","Paid Search","4980.77","7"
"11522","North America","Influencer","4944.2","10"
"10572","Southeast Asia","Organic","4933.05","9"
"11999","North America","Paid Search","4906.46","11"
"12340","Southeast Asia","Organic","4766.39","12"
"10066","North America","Email","4766.25","10"
"12400","North America","Organic","4759.83","12"
"10697","Middle East","Influencer","4604.23","9"
"12657","Middle East","Social Ads","4558.13","12"
"12134","Southeast Asia","Influencer","4508.53","8"
"10748","Europe","Paid Search","4479.71","7"
"11015","Europe","Social Ads","4455.16","8"
"11160","North America","Referral","4402.26","7"
"11037","Europe","Influencer","4377.51","6"
"11610","Europe","Organic","4350.55","7"
"12731","North America","Social Ads","4312.66","8"
"11770","Middle East","Influencer","4309.36","5"
"11494","Europe","Social Ads","4267.83","7"
"10206","Southeast Asia","Social Ads","4234.95","10"
"10888","Middle East","Paid Search","4150.47","3"
"11737","Europe","Social Ads","4131.74","10"
"12015","Southeast Asia","Influencer","4128.25","6"
"10442","Europe","Organic","4127.56","18"
"12447","North America","Paid Search","4058.44","9"
"11020","North America","Influencer","3970.54","10"
"11119","Latin America","Social Ads","3907.69","9"
"11926","Latin America","Referral","3869.89","6"
"12681","Europe","Referral","3862.9","10"
"12656","Latin America","Paid Search","3849.62","9"
"12306","Southeast Asia","Influencer","3849.35","9"
"10587","Latin America","Paid Search","3828.75","5"
"11192","Europe","Influencer","3800.31","7"
"12929","North America","Email","3775.81","6"
"11341","Southeast Asia","Paid Search","3768.96","6"
"11115","Europe","Email","3683.19","9"
"12381","North America","Email","3625.02","6"
"11200","North America","Organic","3567.08","5"
"10164","Europe","Influencer","3537.04","6"
"11143","Southeast Asia","Organic","3529.05","10"
"11580","Europe","Influencer","3518.66","10"
"12060","Southeast Asia","Organic","3475.06","5"
"11933","Southeast Asia","Referral","3468.47","8"
"11587","North America","Paid Search","3467.71","5"
"12664","North America","Referral","3457.2","8"
"10658","Latin America","Paid Search","3435.68","4"
"12265","North America","Influencer","3388.17","11"
"11411","Europe","Influencer","3367.24","8"
"11803","Europe","Influencer","3323.4","8"
"12913","Europe","Referral","3293.43","7"
"11353","North America","Influencer","3277.34","8"
"12925","North America","Social Ads","3272.31","7"
"10055","Latin America","Social Ads","3252.9","4"
"12785","Europe","Organic","3243.61","10"
"12097","Europe","Organic","3237.16","9"
"12889","North America","Paid Search","3232.96","5"
"12558","North America","Influencer","3213.48","6"
"10604","Europe","Organic","3207.14","7"
"10350","Middle East","Paid Search","3205.02","9"
"11962","North America","Organic","3196.7","10"
"11000","North America","Organic","3163.79","5"
"11201","Europe","Referral","3162.48","5"
"11296","Latin America","Paid Search","3137.26","4"
"10056","Latin America","Email","3119.6","9"
"12836","Southeast Asia","Organic","3073.17","9"
"10868","Europe","Email","3032.02","9"
"11987","Europe","Referral","3020.49","10"
"10660","Europe","Referral","3018.71","5"
"11321","Europe","Email","2998.72","4"
"12749","Middle East","Referral","2989.29","4"
"12328","North America","Organic","2983.36","7"
"10131","Europe","Influencer","2982.05","6"
"12654","North America","Influencer","2979.71","4"
"11075","North America","Organic","2971.83","2"
"11674","North America","Influencer","2968.23","13"
"12687","Southeast Asia","Social Ads","2950.23","8"
"11080","Latin America","Influencer","2933.58","7"
"11977","Southeast Asia","Organic","2902.79","6"
"11156","North America","Influencer","2900.55","13"
"10406","Southeast Asia","Social Ads","2893.5","6"
"11121","Southeast Asia","Social Ads","2885.79","8"
"10681","Latin America","Referral","2881.3","9"
"10158","Europe","Influencer","2880.88","7"
"11622","North America","Referral","2880.66","5"
"10180","Southeast Asia","Social Ads","2871.76","4"
"10209","Latin America","Influencer","2867.46","7"
"12085","Southeast Asia","Organic","2829.87","7"
"10974","Latin America","Organic","2826.48","7"
"12893","Latin America","Influencer","2817.17","9"
"10607","Europe","Organic","2816.88","6"
"12231","Europe","Influencer","2815.02","8"
"12158","Southeast Asia","Organic","2803.51","9"
"11852","North America","Influencer","2787.54","7"
"11581","Middle East","Paid Search","2787.51","4"
"12449","Middle East","Social Ads","2777.92","8"
"11011","North America","Referral","2756.54","9"
"10398","Europe","Email","2752.86","6"
"11352","Middle East","Organic","2726.24","4"
"12401","Latin America","Paid Search","2710.75","6"
"12975","Europe","Influencer","2696.33","9"
"10742","North America","Referral","2695.86","6"
"11278","Europe","Paid Search","2689.12","4"
"10001","Middle East","Referral","2679.83","6"
"12547","Middle East","Influencer","2678.22","7"
"11176","North America","Social Ads","2674.4","6"
"11799","Southeast Asia","Organic","2671.27","6"
"10643","Southeast Asia","Paid Search","2669.54","3"
"12024","North America","Organic","2666.73","4"
"12958","Europe","Influencer","2662.88","4"
"11290","Southeast Asia","Organic","2650.57","4"
"10834","Europe","Email","2612.77","4"
"10606","North America","Organic","2595","2"
"10610","Middle East","Referral","2590.53","4"
"10157","Europe","Organic","2579.92","8"
"10582","Europe","Social Ads","2570.26","7"
"11392","North America","Influencer","2562.14","11"
"11294","Latin America","Organic","2553.86","7"
"10764","Europe","Email","2531.61","5"
"11831","North America","Social Ads","2525.33","6"
"12043","Latin America","Social Ads","2522.56","4"
"10880","Latin America","Influencer","2521.58","7"
"11696","Latin America","Organic","2514.96","6"
"10185","Europe","Paid Search","2509.23","3"
"10409","Southeast Asia","Organic","2497.24","4"
"10680","Latin America","Email","2497.08","6"
"10723","North America","Organic","2490.47","4"
"10547","North America","Influencer","2486.24","5"
"11673","Europe","Influencer","2486.04","4"
"11381","North America","Organic","2483.5","4"
"10584","Latin America","Referral","2480.74","6"
"11809","North America","Organic","2476.15","4"
"12333","Southeast Asia","Organic","2465.62","6"
"11106","North America","Organic","2462.81","6"
"11112","Middle East","Email","2448.44","5"
"10794","Europe","Organic","2448.41","4"
"12428","North America","Paid Search","2443.44","4"
"12086","North America","Paid Search","2438.18","10"
"11634","Latin America","Social Ads","2432.48","4"
"12187","Latin America","Referral","2428.96","6"
"12457","Europe","Organic","2428.31","6"
"12640","Europe","Email","2411.44","5"
"10353","North America","Influencer","2404.99","6"
"11986","North America","Email","2378.64","5"
"12144","Southeast Asia","Social Ads","2369.34","6"
"12018","Latin America","Organic","2367.06","8"
"12539","Middle East","Referral","2359.72","7"
"12061","Latin America","Referral","2355.89","8"
"10525","Europe","Social Ads","2352.81","5"
"12811","North America","Organic","2345","5"
"11815","North America","Paid Search","2343.99","4"
"11626","Southeast Asia","Organic","2336.94","8"
"12297","Europe","Organic","2334.58","6"
"11073","Middle East","Influencer","2331.51","11"
"12307","Latin America","Influencer","2329.96","5"
"12578","North America","Organic","2322.27","5"
"11279","North America","Influencer","2322.06","9"
"10326","Europe","Influencer","2313.49","9"
"12355","Latin America","Social Ads","2307.7","4"
"10956","Southeast Asia","Email","2304.28","9"
"11419","North America","Referral","2291.28","8"
"12606","Latin America","Organic","2289.68","9"
"12174","Europe","Influencer","2286.93","7"
"12096","Middle East","Referral","2284.16","4"
"10088","Europe","Influencer","2281.93","5"
"12250","Middle East","Organic","2280.24","11"
"11525","Europe","Organic","2279.81","7"
"12972","Latin America","Organic","2279.42","5"
"10862","Latin America","Influencer","2273.27","8"
"10337","Southeast Asia","Organic","2265.01","6"
"10156","North America","Influencer","2253.69","8"
"12857","North America","Referral","2252.08","4"
"12487","Latin America","Organic","2251.54","6"
"12022","Europe","Social Ads","2249.26","6"
"10933","North America","Organic","2248.35","5"
"10952","Southeast Asia","Organic","2230.9","4"
"12468","Latin America","Referral","2230.66","4"
"10816","Latin America","Organic","2229.21","7"
"10121","Latin America","Influencer","2222.32","15"
"12862","Latin America","Organic","2208.95","3"
"11163","Europe","Organic","2207.57","6"
"11733","Southeast Asia","Influencer","2205.33","6"
"10578","Southeast Asia","Organic","2203.36","6"
"10210","Middle East","Influencer","2184.54","4"
"12932","Latin America","Influencer","2183.04","4"
"11792","North America","Organic","2181.4","7"
"11331","Europe","Influencer","2160.15","4"
"10165","Southeast Asia","Email","2154.11","3"
"12466","North America","Influencer","2153.11","4"
"12973","Europe","Email","2152.84","4"
"11394","Middle East","Paid Search","2143.26","2"
"12430","Europe","Organic","2136.87","6"
"10689","North America","Organic","2136.72","6"
"12318","North America","Influencer","2125.56","7"
"12454","Europe","Referral","2124.04","6"
"10168","Europe","Organic","2122.43","5"
"12529","Southeast Asia","Referral","2118.45","3"
"12517","North America","Referral","2118.2","9"
"12092","Southeast Asia","Organic","2096.18","10"
"11198","Europe","Influencer","2093.49","4"
"12998","Europe","Organic","2092.83","9"
"12782","Latin America","Organic","2087.57","7"
"12145","Europe","Paid Search","2086.95","3"
"10806","North America","Organic","2085.35","4"
"11714","North America","Email","2076.75","5"
"11848","North America","Referral","2071.97","9"
"12871","Europe","Organic","2066.39","9"
"10475","North America","Referral","2061.09","2"
"11166","Middle East","Email","2060.23","2"
"12588","North America","Social Ads","2055.86","5"
"12091","Southeast Asia","Organic","2052.34","5"
"11561","North America","Social Ads","2049.59","4"
"12826","Europe","Influencer","2041.99","9"
"11220","North America","Email","2040.2","2"
"11414","North America","Organic","2040.14","7"
"10020","Southeast Asia","Organic","2033.9","3"
"11213","North America","Referral","2028.44","4"
"10385","Middle East","Influencer","2027.75","12"
"11401","Middle East","Paid Search","2025.93","4"
"11174","Europe","Referral","2023.44","10"
"10294","Latin America","Email","2022.51","3"
"11931","North America","Organic","2018.69","9"
"12999","North America","Paid Search","2012.06","7"
"10893","Southeast Asia","Referral","2010.1","9"
"11788","Latin America","Influencer","2009.71","6"
"11358","Europe","Paid Search","2009.11","5"
"11940","Europe","Organic","2008.71","5"
"11345","Europe","Referral","2005.59","5"
"11197","North America","Influencer","2000.15","6"
"11188","Europe","Referral","1999.52","8"
"10455","North America","Influencer","1998.36","9"
"12170","North America","Email","1993.4","4"
"10346","Latin America","Influencer","1986.36","9"
"12721","North America","Organic","1983.74","5"
"12732","Latin America","Paid Search","1972.94","5"
"11257","North America","Referral","1971.3","8"
"11132","Europe","Influencer","1968.65","8"
"10961","Europe","Organic","1959.19","4"
"11284","North America","Organic","1958.97","4"
"10835","Latin America","Organic","1957.95","7"
"11074","Europe","Organic","1952.63","5"
"12277","Europe","Email","1950.44","6"
"11854","Latin America","Referral","1946.99","3"
"10334","North America","Organic","1946.95","5"
"12861","Latin America","Organic","1946.36","5"
"10492","North America","Referral","1938.75","7"
"11841","Middle East","Influencer","1937.51","11"
"11991","Europe","Influencer","1934.33","9"
"11864","Latin America","Referral","1932.23","4"
"11036","Southeast Asia","Social Ads","1930.22","5"
"10199","Europe","Email","1929.39","5"
"10640","Europe","Organic","1913.59","10"
"12748","Middle East","Social Ads","1913.22","6"
"12356","Middle East","Organic","1913.21","4"
"10229","Europe","Referral","1911.01","5"
"10668","North America","Referral","1907.93","5"
"11648","Southeast Asia","Influencer","1907.45","9"
"11368","North America","Influencer","1907.19","7"
"12962","North America","Referral","1905.36","5"
"11014","Europe","Email","1903.63","7"
"11723","Latin America","Referral","1903.04","6"
"12561","Middle East","Organic","1899.18","4"
"11564","North America","Influencer","1895.65","5"
"11150","Europe","Influencer","1895.3","9"
"10674","North America","Organic","1891.83","9"
"12002","Latin America","Email","1887.77","6"
"10613","Middle East","Referral","1886.02","2"
"12436","North America","Organic","1880.24","6"
"11454","Southeast Asia","Email","1877.39","5"
"12109","Europe","Organic","1875.82","2"
"11195","Middle East","Social Ads","1872.79","3"
"12037","Middle East","Influencer","1871.89","5"
"11269","Europe","Email","1867.8","6"
"10279","North America","Email","1865.24","3"
"11175","Europe","Social Ads","1864.79","6"
"10100","North America","Organic","1862.55","7"
"12832","Southeast Asia","Organic","1860.09","5"
"12511","Middle East","Organic","1859.74","3"
"10462","Europe","Social Ads","1859.43","3"
"12253","North America","Organic","1853.87","5"
"12345","North America","Influencer","1852.45","10"
"11291","Southeast Asia","Organic","1848.49","5"
"12115","Europe","Email","1848.13","5"
"11774","Europe","Referral","1842.53","6"
"12344","North America","Paid Search","1842.13","2"
"10302","Europe","Organic","1841.94","6"
"11390","North America","Organic","1841.85","5"
"10136","Southeast Asia","Organic","1841.47","7"
"10804","Southeast Asia","Organic","1822.45","6"
"12852","Latin America","Influencer","1822.05","5"
"11939","Latin America","Email","1807.39","4"
"12185","Europe","Organic","1807.36","5"
"11043","Europe","Organic","1805.6","4"
"11906","Middle East","Influencer","1803","10"
"10171","Latin America","Organic","1801.06","6"
"11503","Europe","Social Ads","1800.53","5"
"12729","North America","Organic","1799.8","6"
"10047","Europe","Organic","1798.3","8"
"11504","Europe","Email","1793.99","5"
"12769","North America","Email","1793.84","6"
"10348","Europe","Organic","1792.55","5"
"11691","Middle East","Paid Search","1789.68","6"
"12783","North America","Social Ads","1786.79","3"
"10106","Europe","Organic","1782.69","5"
"11889","North America","Organic","1781.35","3"
"10013","Southeast Asia","Email","1779.94","4"
"10818","North America","Referral","1776.89","5"
"10562","Middle East","Organic","1764.1","7"
"10930","Southeast Asia","Influencer","1763.14","5"
"12267","Middle East","Email","1761.41","7"
"10119","Latin America","Organic","1759.08","3"
"12833","North America","Referral","1757.44","6"
"12230","Southeast Asia","Referral","1755.89","8"
"11890","Latin America","Influencer","1755.25","4"
"11469","Latin America","Influencer","1752.71","7"
"10081","Latin America","Social Ads","1750.65","4"
"10354","North America","Influencer","1748.75","5"
"10151","Middle East","Social Ads","1744.04","6"
"12396","Latin America","Organic","1741.49","4"
"11655","North America","Referral","1741.41","8"
"11097","Latin America","Influencer","1734.97","7"
"12556","Europe","Social Ads","1733.12","5"
"11914","Middle East","Email","1728.75","5"
"12693","North America","Referral","1721.72","8"
"11483","Europe","Referral","1720.61","6"
"12129","Southeast Asia","Referral","1719.35","6"
"11716","Latin America","Organic","1713.26","4"
"10719","Latin America","Organic","1711.78","6"
"12434","North America","Email","1710.65","4"
"12950","North America","Referral","1709.61","3"
"12245","Latin America","Organic","1705.89","4"
"12568","North America","Email","1700.56","4"
"11190","Middle East","Referral","1699.25","7"
"10224","Southeast Asia","Organic","1698.56","6"
"10671","Europe","Paid Search","1697.92","4"
"11893","Europe","Organic","1697.5","6"
"11324","Europe","Referral","1696.43","5"
"12593","Southeast Asia","Social Ads","1691.27","3"
"11998","Southeast Asia","Referral","1689.81","3"
"12740","Southeast Asia","Referral","1689.32","8"
"11722","North America","Organic","1686.95","5"
"10187","Latin America","Influencer","1685.33","8"
"12911","Europe","Influencer","1680.91","8"
"10980","Middle East","Organic","1675.7","4"
"12438","Southeast Asia","Influencer","1671.6","9"
"10331","Europe","Referral","1665.08","5"
"10265","Southeast Asia","Influencer","1664.82","5"
"11342","Southeast Asia","Influencer","1663.3","5"
"11583","Europe","Organic","1660.74","7"
"12262","Southeast Asia","Social Ads","1657.51","4"
"11027","Europe","Email","1652.13","2"
"12633","Latin America","Organic","1651.1","6"
"10347","Latin America","Email","1649.47","7"
"11550","Europe","Organic","1643.94","8"
"11651","North America","Paid Search","1643.54","3"
"10404","Europe","Social Ads","1643.28","5"
"11575","Latin America","Paid Search","1643.09","3"
"12671","Middle East","Social Ads","1641.22","3"
"10684","Europe","Referral","1637.01","4"
"12737","Southeast Asia","Social Ads","1635.59","1"
"11407","Middle East","Referral","1634.7","4"
"10841","Southeast Asia","Email","1633.41","7"
"11898","Middle East","Email","1632.27","4"
"12986","North America","Email","1632.2","6"
"10011","North America","Referral","1631.53","8"
"12831","Southeast Asia","Social Ads","1630.56","2"
"11708","North America","Social Ads","1628.44","3"
"12379","Europe","Organic","1627.85","5"
"11829","Latin America","Organic","1626.29","5"
"11003","Europe","Organic","1625.1","2"
"11511","Middle East","Referral","1624.51","6"
"10889","Latin America","Referral","1623.68","7"
"12046","Europe","Organic","1622.28","4"
"12706","Latin America","Social Ads","1622.07","7"
"10906","Middle East","Email","1618.32","6"
"11980","North America","Organic","1616.64","4"
"12384","Latin America","Email","1611.87","8"
"10928","Southeast Asia","Influencer","1611.51","5"
"11095","Latin America","Referral","1611.11","5"
"10019","Europe","Organic","1607.74","7"
"11894","Europe","Email","1607.65","5"
"12966","Europe","Email","1603.75","3"
"12201","Latin America","Paid Search","1601.79","3"
"11158","Europe","Email","1599.84","3"
"10776","Latin America","Paid Search","1593.69","2"
"11573","Southeast Asia","Organic","1583.48","4"
"10537","North America","Influencer","1582.95","2"
"10503","Southeast Asia","Social Ads","1581.87","6"
"11875","North America","Referral","1581.56","4"
"11457","Middle East","Referral","1581.39","6"
"11642","North America","Email","1577.84","1"
"10746","Southeast Asia","Paid Search","1572.52","3"
"11783","Europe","Email","1571.95","4"
"11853","Europe","Email","1570.64","4"
"12458","North America","Influencer","1561.9","8"
"12581","Southeast Asia","Organic","1557.57","5"
"11062","Europe","Referral","1555.83","6"
"12885","Europe","Influencer","1554.88","7"
"10758","North America","Organic","1553.83","3"
"10626","Southeast Asia","Organic","1551.41","5"
"12709","Latin America","Social Ads","1548.57","3"
"10788","Latin America","Email","1543.98","3"
"11102","North America","Referral","1542.27","5"
"12598","North America","Email","1542.14","3"
"12483","North America","Organic","1541.87","2"
"12163","North America","Social Ads","1541.57","4"
"12439","Southeast Asia","Paid Search","1537.47","3"
"11441","Europe","Social Ads","1533.96","5"
"12392","Middle East","Referral","1532.68","6"
"10550","North America","Referral","1531.19","7"
"10082","Southeast Asia","Influencer","1528.58","7"
"11602","North America","Email","1528.57","12"
"12575","Southeast Asia","Referral","1526.26","8"
"12611","Middle East","Influencer","1522.9","11"
"11089","North America","Referral","1521.79","9"
"12565","Europe","Organic","1520.94","6"
"11574","Europe","Organic","1519.72","4"
"11842","Latin America","Organic","1519.36","7"
"10850","Europe","Influencer","1518.9","5"
"10380","Southeast Asia","Referral","1518.64","3"
"12503","North America","Paid Search","1516.69","3"
"11769","Europe","Organic","1516.35","5"
"11276","North America","Influencer","1513.76","6"
"12380","Middle East","Organic","1510.43","4"
"12543","Southeast Asia","Influencer","1505.99","8"
"12924","North America","Paid Search","1501.21","2"
"10111","North America","Organic","1500.61","7"
"12133","North America","Email","1499.7","5"
"10824","Europe","Referral","1494.72","7"
"11339","Southeast Asia","Referral","1493.14","4"
"12150","Southeast Asia","Paid Search","1492.05","4"
"11927","Middle East","Influencer","1484.3","6"
"11850","Latin America","Email","1484.26","6"
"10289","Latin America","Organic","1483.96","3"
"11649","Latin America","Influencer","1483.55","6"
"12538","North America","Influencer","1481.77","9"
"10230","North America","Social Ads","1479.52","4"
"11063","Middle East","Referral","1479.44","6"
"12569","North America","Organic","1479","6"
"12827","North America","Referral","1478.93","5"
"11920","Latin America","Email","1475.85","7"
"10772","Europe","Influencer","1475.08","10"
"10819","North America","Email","1474.9","7"
"10316","Southeast Asia","Email","1473.46","2"
"12756","Southeast Asia","Influencer","1469.97","4"
"11509","Southeast Asia","Organic","1469.86","7"
"10182","Southeast Asia","Organic","1467.34","8"
"10833","North America","Organic","1467.29","2"
"10642","North America","Referral","1467.12","1"
"11767","North America","Influencer","1464.72","7"
"12451","North America","Email","1463.43","7"
"11228","Europe","Organic","1461.66","6"
"10710","Europe","Organic","1460.38","6"
"10656","Southeast Asia","Organic","1458.63","4"
"10522","Southeast Asia","Influencer","1458.14","8"
"11303","Southeast Asia","Social Ads","1449.32","2"
"11869","Southeast Asia","Email","1444.93","4"
"12587","Southeast Asia","Organic","1443.73","4"
"12668","Middle East","Email","1441.2","6"
"11338","Middle East","Influencer","1439.97","5"
"12946","Europe","Organic","1439.58","7"
"12171","Europe","Referral","1426.92","8"
"12849","Southeast Asia","Social Ads","1424.11","2"
"12272","Latin America","Social Ads","1416.47","3"
"11365","Europe","Organic","1413.96","4"
"11372","Europe","Influencer","1411.19","6"
"10695","Southeast Asia","Referral","1410.74","3"
"12546","North America","Organic","1409.01","6"
"11682","Europe","Social Ads","1406.83","2"
"10417","Europe","Email","1406.3","5"
"11408","Europe","Social Ads","1406.17","3"
"12641","North America","Influencer","1405.46","3"
"12354","North America","Influencer","1404.84","6"
"12906","North America","Influencer","1404.29","8"
"12582","Middle East","Referral","1402.16","4"
"10060","North America","Organic","1397.52","5"
"11582","North America","Referral","1397.23","4"
"12309","Southeast Asia","Email","1396.12","2"
"10856","North America","Social Ads","1394.68","4"
"10957","North America","Organic","1394.53","4"
"11514","North America","Referral","1393.92","10"
"12759","North America","Paid Search","1392.55","4"
"12714","Middle East","Social Ads","1390.21","2"
"11620","North America","Organic","1387.49","7"
"11091","Europe","Paid Search","1383.87","2"
"12059","Europe","Social Ads","1382.38","3"
"10388","North America","Referral","1378.54","4"
"11140","Latin America","Social Ads","1377.21","3"
"12229","Southeast Asia","Influencer","1374.79","2"
"11178","Latin America","Email","1373.85","4"
"10120","Middle East","Social Ads","1372.22","2"
"10826","North America","Organic","1369.2","4"
"10620","Latin America","Organic","1362.04","3"
"11959","Europe","Influencer","1359.15","10"
"11061","Europe","Organic","1359.02","4"
"11640","Europe","Email","1358.42","4"
"12271","Europe","Influencer","1358.31","5"
"11110","Latin America","Influencer","1357.91","8"
"11199","Europe","Organic","1356.39","6"
"12744","Southeast Asia","Social Ads","1355.86","3"
"10939","Europe","Paid Search","1354.44","2"
"10253","Europe","Email","1354.43","3"
"12586","Europe","Social Ads","1353.59","5"
"12818","Europe","Influencer","1353.23","8"
"10339","North America","Influencer","1351.51","5"
"10968","North America","Organic","1350.68","5"
"10955","Europe","Email","1349.81","6"
"10112","North America","Organic","1349.03","8"
"10969","Europe","Paid Search","1347.06","2"
"12106","North America","Email","1345.04","2"
"12147","North America","Organic","1344.36","6"
"10649","Southeast Asia","Paid Search","1340.46","2"
"10403","Europe","Organic","1338.31","3"
"11697","North America","Organic","1336.98","4"
"12289","Southeast Asia","Organic","1336.64","4"
"11047","Southeast Asia","Social Ads","1336.59","2"
"10393","North America","Influencer","1334.99","4"
"12661","Latin America","Email","1334.65","8"
"12534","North America","Social Ads","1334.65","3"
"12383","North America","Email","1332.85","3"
"12168","Southeast Asia","Influencer","1330.45","6"
"10355","Southeast Asia","Influencer","1328.02","7"
"11050","North America","Organic","1326.47","8"
"12530","Middle East","Organic","1325.62","6"
"10130","Europe","Email","1324.45","3"
"12550","Europe","Social Ads","1322.24","2"
"12040","North America","Referral","1316","6"
"12762","Southeast Asia","Organic","1315.89","6"
"11700","Europe","Email","1314.16","7"
"10125","Europe","Email","1313.54","5"
"10141","Southeast Asia","Referral","1313.26","5"
"10147","Latin America","Social Ads","1312.54","3"
"12520","Middle East","Organic","1311.49","5"
"11438","Middle East","Influencer","1310.92","4"
"12051","North America","Influencer","1309.08","7"
"12939","Latin America","Referral","1308.52","4"
"10188","Southeast Asia","Referral","1304.78","6"
"10310","North America","Influencer","1304.28","6"
"10555","North America","Influencer","1303.91","7"
"11878","Southeast Asia","Organic","1301.59","5"
"12907","Southeast Asia","Email","1300.35","2"
"11578","Middle East","Organic","1298.59","6"
"10282","Latin America","Paid Search","1297.93","1"
"10661","Europe","Paid Search","1297.92","1"
"11863","Southeast Asia","Referral","1296.32","3"
"11334","Latin America","Organic","1294.07","3"
"11462","North America","Organic","1294.04","8"
"10369","Southeast Asia","Social Ads","1292.95","4"
"11571","Latin America","Organic","1291.85","3"
"11785","Southeast Asia","Organic","1290.49","7"
"11418","North America","Influencer","1289.1","5"
"10069","Europe","Influencer","1288.98","5"
"12887","Latin America","Social Ads","1288.33","4"
"11491","Latin America","Influencer","1288.21","4"
"12249","Europe","Organic","1287.98","8"
"12667","Middle East","Social Ads","1285.37","3"
"12750","North America","Organic","1284.37","3"
"10670","Latin America","Organic","1284.2","3"
"11330","North America","Referral","1282.21","5"
"12535","Middle East","Organic","1281.43","7"
"10501","North America","Influencer","1281.33","6"
"12959","Europe","Organic","1275.01","3"
"10099","Middle East","Influencer","1273.64","7"
"12154","Middle East","Influencer","1270.8","9"
"10177","Europe","Organic","1270.57","4"
"11955","North America","Influencer","1269.59","5"
"10391","North America","Email","1268.69","5"
"11672","North America","Organic","1264.72","5"
"11484","North America","Social Ads","1264.15","4"
"11771","North America","Referral","1261.28","6"
"11399","Europe","Organic","1261.15","3"
"11289","Europe","Social Ads","1256.73","1"
"12820","Latin America","Referral","1255.53","5"
"10470","Middle East","Paid Search","1255.01","2"
